family,branch,branch_label,case_counted_steps,source_ev,low_budget_ev,expected_sequence,top_sequence,expected_hit_ratio,chain_order_ok,target_chain_ok,next_seed_from_previous_top_count,next_seed_from_previous_top_ratio,wrong_target_quiet,low_budget_quiet,no_carry_stalled,branch_switched,terminal_stopped,terminal_followup_target_count,terminal_step_index,carried_source_ids
F08,chain_follow,连续承接,3,1.07,0.019,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F08,wrong_seed_control,错误种子对照,2,1.07,0.019,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F08,low_budget_control,低预算剪枝,1,1.07,0.019,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F08,no_carry_control,无承接对照,3,1.07,0.019,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F08,branch_switch,权重转向,3,1.07,0.019,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F08,terminal_stop,终端停止,3,1.07,0.019,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F09,chain_follow,连续承接,3,1.08,0.02,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F09,wrong_seed_control,错误种子对照,2,1.08,0.02,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F09,low_budget_control,低预算剪枝,1,1.08,0.02,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F09,no_carry_control,无承接对照,3,1.08,0.02,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F09,branch_switch,权重转向,3,1.08,0.02,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F09,terminal_stop,终端停止,3,1.08,0.02,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F10,chain_follow,连续承接,3,1.09,0.021,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F10,wrong_seed_control,错误种子对照,2,1.09,0.021,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F10,low_budget_control,低预算剪枝,1,1.09,0.021,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F10,no_carry_control,无承接对照,3,1.09,0.021,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F10,branch_switch,权重转向,3,1.09,0.021,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F10,terminal_stop,终端停止,3,1.09,0.021,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F11,chain_follow,连续承接,3,1.1,0.022,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F11,wrong_seed_control,错误种子对照,2,1.1,0.022,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F11,low_budget_control,低预算剪枝,1,1.1,0.022,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F11,no_carry_control,无承接对照,3,1.1,0.022,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F11,branch_switch,权重转向,3,1.1,0.022,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F11,terminal_stop,终端停止,3,1.1,0.022,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F12,chain_follow,连续承接,3,1.11,0.023,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
F12,wrong_seed_control,错误种子对照,2,1.11,0.023,DX>memory:distractor,memory:distractor>none,0.0,0,0,0,0.0,1,0,0,0,0,0,-1,D>DX
F12,low_budget_control,低预算剪枝,1,1.11,0.023,none,none,1.0,1,0,0,0.0,1,1,0,0,0,0,-1,A
F12,no_carry_control,无承接对照,3,1.11,0.023,AB>AB>AB,AB>AB>AB,1.0,1,0,0,0.0,0,0,1,0,0,0,-1,A>A>A
F12,branch_switch,权重转向,3,1.11,0.023,AB>ABY>memory:switch,AB>ABY>memory:switch,1.0,1,1,2,1.0,0,0,0,1,1,0,3,A>AB>ABY
F12,terminal_stop,终端停止,3,1.11,0.023,AB>ABC>memory:terminal,AB>ABC>memory:terminal,1.0,1,1,2,1.0,0,0,0,0,1,0,3,A>AB>ABC
