family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F07,terminal_stop,终端停止,4,ABCD,st_000332,1.06,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F08,chain_follow,连续承接,1,A,st_000337,1.07,AB,AB,structure,st_000338,,1.07,1,0,1,1,0,1,0,0,0,0,0
F08,chain_follow,连续承接,2,AB,st_000338,1.07,ABC,ABC,structure,st_000339,,0.71651786,2,0,1,1,0,0,1,1,0,0,0
F08,chain_follow,连续承接,3,ABC,st_000339,1.07,memory:terminal,memory:terminal,memory,st_000340,em_000127,1.07,1,1,1,1,0,0,0,0,1,0,0
F08,wrong_seed_control,错误种子对照,1,D,st_000349,1.07,DX,memory:distractor,memory,st_000350,em_000131,1.07,1,1,1,1,0,0,0,0,0,0,1
F08,wrong_seed_control,错误种子对照,2,DX,st_000350,1.07,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F08,low_budget_control,低预算剪枝,1,A,st_000353,0.019,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F08,no_carry_control,无承接对照,1,A,st_000361,1.07,AB,AB,structure,st_000362,,1.07,1,0,1,1,0,1,0,0,0,0,0
F08,no_carry_control,无承接对照,2,A,st_000361,1.07,AB,AB,structure,st_000362,,1.07,1,0,1,1,0,1,0,0,0,0,0
F08,no_carry_control,无承接对照,3,A,st_000361,1.07,AB,AB,structure,st_000362,,1.07,1,0,1,1,0,1,0,0,0,0,0
F08,branch_switch,权重转向,1,A,st_000369,1.07,AB,AB,structure,st_000370,,1.07,1,0,1,1,0,1,0,0,0,0,0
F08,branch_switch,权重转向,2,AB,st_000370,1.07,ABY,ABY,structure,st_000375,,0.71651786,2,0,1,1,0,0,1,1,0,0,0
