family,branch,branch_label,step,source_key,source_structure_id,source_ev,expected_top,top_label,top_projection_kind,top_structure_id,top_memory_id,top_delta_ev,target_count,memory_target_count,round_count,depth_max,frontier_pruned_count,hit_AB,hit_ABC,hit_ABY,hit_terminal_memory,hit_switch_memory,hit_distractor_memory
F11,no_carry_control,无承接对照,1,A,st_000505,1.1,AB,AB,structure,st_000506,,1.1,1,0,1,1,0,1,0,0,0,0,0
F11,no_carry_control,无承接对照,2,A,st_000505,1.1,AB,AB,structure,st_000506,,1.1,1,0,1,1,0,1,0,0,0,0,0
F11,no_carry_control,无承接对照,3,A,st_000505,1.1,AB,AB,structure,st_000506,,1.1,1,0,1,1,0,1,0,0,0,0,0
F11,branch_switch,权重转向,1,A,st_000513,1.1,AB,AB,structure,st_000514,,1.1,1,0,1,1,0,1,0,0,0,0,0
F11,branch_switch,权重转向,2,AB,st_000514,1.1,ABY,ABY,structure,st_000519,,0.7537037,2,0,1,1,0,0,1,1,0,0,0
F11,branch_switch,权重转向,3,ABY,st_000519,1.1,memory:switch,memory:switch,memory,st_000520,em_000195,1.1,1,1,1,1,0,0,0,0,0,1,0
F11,terminal_stop,终端停止,1,A,st_000521,1.1,AB,AB,structure,st_000522,,1.1,1,0,1,1,0,1,0,0,0,0,0
F11,terminal_stop,终端停止,2,AB,st_000522,1.1,ABC,ABC,structure,st_000523,,0.7537037,2,0,1,1,0,0,1,1,0,0,0
F11,terminal_stop,终端停止,3,ABC,st_000523,1.1,memory:terminal,memory:terminal,memory,st_000524,em_000196,1.1,1,1,1,1,0,0,0,0,1,0,0
F11,terminal_stop,终端停止,4,ABCD,st_000524,1.1,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F12,chain_follow,连续承接,1,A,st_000529,1.11,AB,AB,structure,st_000530,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,chain_follow,连续承接,2,AB,st_000530,1.11,ABC,ABC,structure,st_000531,,0.76443396,2,0,1,1,0,0,1,1,0,0,0
F12,chain_follow,连续承接,3,ABC,st_000531,1.11,memory:terminal,memory:terminal,memory,st_000532,em_000199,1.11,1,1,1,1,0,0,0,0,1,0,0
F12,wrong_seed_control,错误种子对照,1,D,st_000541,1.11,DX,memory:distractor,memory,st_000542,em_000203,1.11,1,1,1,1,0,0,0,0,0,0,1
F12,wrong_seed_control,错误种子对照,2,DX,st_000542,1.11,memory:distractor,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
F12,low_budget_control,低预算剪枝,1,A,st_000545,0.023,none,none,,,,0.0,0,0,1,0,1,0,0,0,0,0,0
F12,no_carry_control,无承接对照,1,A,st_000553,1.11,AB,AB,structure,st_000554,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,no_carry_control,无承接对照,2,A,st_000553,1.11,AB,AB,structure,st_000554,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,no_carry_control,无承接对照,3,A,st_000553,1.11,AB,AB,structure,st_000554,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,branch_switch,权重转向,1,A,st_000561,1.11,AB,AB,structure,st_000562,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,branch_switch,权重转向,2,AB,st_000562,1.11,ABY,ABY,structure,st_000567,,0.76443396,2,0,1,1,0,0,1,1,0,0,0
F12,branch_switch,权重转向,3,ABY,st_000567,1.11,memory:switch,memory:switch,memory,st_000568,em_000213,1.11,1,1,1,1,0,0,0,0,0,1,0
F12,terminal_stop,终端停止,1,A,st_000569,1.11,AB,AB,structure,st_000570,,1.11,1,0,1,1,0,1,0,0,0,0,0
F12,terminal_stop,终端停止,2,AB,st_000570,1.11,ABC,ABC,structure,st_000571,,0.76443396,2,0,1,1,0,0,1,1,0,0,0
F12,terminal_stop,终端停止,3,ABC,st_000571,1.11,memory:terminal,memory:terminal,memory,st_000572,em_000214,1.11,1,1,1,1,0,0,0,0,1,0,0
F12,terminal_stop,终端停止,4,ABCD,st_000572,1.11,none,none,,,,0.0,0,0,0,0,0,0,0,0,0,0,0
