family,case_id,label,item_count,expected_mode,baseline_conforms,pool_item_count,pool_total_er,pool_total_ev,pool_total_cp_abs,effective_peak_count,complexity_score,core_complexity_score,attention_top_n_current_tick,cam_item_count_current_tick,complexity_signal_strength,simplicity_signal_strength,mode_action_kind,mode_action_triggered,mode_expected_pass,modulation_top_n,modulation_attention_energy_budget,modulation_reason
JDE,S10,mid_10,10,neutral,1,10,5.0,5.0,0.0,10.0,0.49040404,0.49040404,16,10,0.52092352,0.0,,0,1,0,0.0,
JDE,S12,high_12,12,focus,1,12,6.0,6.0,0.0,12.00000048,0.63333333,0.63333333,16,12,0.84761904,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
JDE,S16,high_16,16,focus,1,16,8.0,8.0,0.0,16.0,0.75555556,0.75555556,16,16,1.0,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
KAI,S04,low_4,4,diverge,1,4,2.0,2.0,0.0,4.0,0.12272727,0.12272727,16,4,0.2,0.57454546,attention_diverge_mode,1,1,21,6.0,attention_diverge_mode
KAI,S08,low_8,8,diverge,1,8,4.0,4.0,0.0,8.0,0.34747475,0.34747475,16,8,0.2,0.0,attention_diverge_mode,1,1,21,6.0,attention_diverge_mode
KAI,S10,mid_10,10,neutral,1,10,5.0,5.0,0.0,10.0,0.49040404,0.49040404,16,10,0.52092352,0.0,,0,1,0,0.0,
KAI,S12,high_12,12,focus,1,12,6.0,6.0,0.0,12.00000048,0.63333333,0.63333333,16,12,0.84761904,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
KAI,S16,high_16,16,focus,1,16,8.0,8.0,0.0,16.0,0.75555556,0.75555556,16,16,1.0,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
LUX,S04,low_4,4,diverge,1,4,2.0,2.0,0.0,4.0,0.12272727,0.12272727,16,4,0.2,0.57454546,attention_diverge_mode,1,1,21,6.0,attention_diverge_mode
LUX,S08,low_8,8,diverge,1,8,4.0,4.0,0.0,8.0,0.34747475,0.34747475,16,8,0.2,0.0,attention_diverge_mode,1,1,21,6.0,attention_diverge_mode
LUX,S10,mid_10,10,neutral,1,10,5.0,5.0,0.0,10.0,0.49040404,0.49040404,16,10,0.52092352,0.0,,0,1,0,0.0,
LUX,S12,high_12,12,focus,1,12,6.0,6.0,0.0,12.00000048,0.63333333,0.63333333,16,12,0.84761904,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
LUX,S16,high_16,16,focus,1,16,8.0,8.0,0.0,16.0,0.75555556,0.75555556,16,16,1.0,0.0,attention_focus_mode,1,1,11,10.0,attention_focus_mode
