family,branch,branch_label,tick,enabled,applied,applied_count,internal_sa_count,internal_to_external_sa_ratio,internal_resolution_structure_count_selected,cam_item_count,pool_ev_to_er_ratio
F04,healthy_control,健康对照,3,1,0,0,120.0,2.0,5.0,4.0,1.25
F04,healthy_control,健康对照,4,1,0,0,120.0,2.0,5.0,4.0,1.25
F04,healthy_control,健康对照,5,1,0,0,120.0,2.0,5.0,4.0,1.25
F04,endogenous_silent,沉寂保活,1,1,0,0,23.0,0.365079,1.0,4.0,1.25
F04,endogenous_silent,沉寂保活,2,1,0,0,23.0,0.365079,1.0,4.0,1.25
F04,endogenous_silent,沉寂保活,3,1,0,0,23.0,0.365079,1.0,4.0,1.25
F04,endogenous_silent,沉寂保活,4,1,0,0,23.0,0.365079,1.0,4.0,1.25
F04,endogenous_silent,沉寂保活,5,1,1,5,23.0,0.365079,1.0,4.0,1.25
F04,attention_overheat,注意力过热,1,1,0,0,120.0,2.0,5.0,25.0,1.25
F04,attention_overheat,注意力过热,2,1,0,0,120.0,2.0,5.0,25.0,1.25
F04,attention_overheat,注意力过热,3,1,0,0,120.0,2.0,5.0,25.0,1.25
F04,attention_overheat,注意力过热,4,1,0,0,120.0,2.0,5.0,25.0,1.25
F04,attention_overheat,注意力过热,5,1,1,1,120.0,2.0,5.0,25.0,1.25
F04,ev_propagation_thin,EV传播偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.58
F04,ev_propagation_thin,EV传播偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.58
F04,ev_propagation_thin,EV传播偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.58
F04,ev_propagation_thin,EV传播偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.58
F04,ev_propagation_thin,EV传播偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.58
F04,ev_induction_thin,ER诱发偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F04,ev_induction_thin,ER诱发偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F04,ev_induction_thin,ER诱发偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F04,ev_induction_thin,ER诱发偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F04,ev_induction_thin,ER诱发偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F04,ev_retention_thin,EV保留偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.9
F04,ev_retention_thin,EV保留偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.9
F04,ev_retention_thin,EV保留偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.9
F04,ev_retention_thin,EV保留偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.9
F04,ev_retention_thin,EV保留偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.9
F04,ev_saturated_retention,传播饱和转保留,1,1,0,0,120.0,2.0,5.0,4.0,0.15
F04,ev_saturated_retention,传播饱和转保留,2,1,0,0,120.0,2.0,5.0,4.0,0.15
F04,ev_saturated_retention,传播饱和转保留,3,1,0,0,120.0,2.0,5.0,4.0,0.15
F04,ev_saturated_retention,传播饱和转保留,4,1,0,0,120.0,2.0,5.0,4.0,0.15
F04,ev_saturated_retention,传播饱和转保留,5,1,1,1,120.0,2.0,5.0,4.0,0.15
F04,disabled_control,关闭调参,1,0,0,0,23.0,0.365079,1.0,4.0,1.25
F04,disabled_control,关闭调参,2,0,0,0,23.0,0.365079,1.0,4.0,1.25
F04,disabled_control,关闭调参,3,0,0,0,23.0,0.365079,1.0,4.0,1.25
F04,disabled_control,关闭调参,4,0,0,0,23.0,0.365079,1.0,4.0,1.25
F04,disabled_control,关闭调参,5,0,0,0,23.0,0.365079,1.0,4.0,1.25
F05,healthy_control,健康对照,1,1,0,0,120.0,2.0,5.0,4.0,1.25
F05,healthy_control,健康对照,2,1,0,0,120.0,2.0,5.0,4.0,1.25
F05,healthy_control,健康对照,3,1,0,0,120.0,2.0,5.0,4.0,1.25
F05,healthy_control,健康对照,4,1,0,0,120.0,2.0,5.0,4.0,1.25
F05,healthy_control,健康对照,5,1,0,0,120.0,2.0,5.0,4.0,1.25
F05,endogenous_silent,沉寂保活,1,1,0,0,24.0,0.375,1.0,4.0,1.25
F05,endogenous_silent,沉寂保活,2,1,0,0,24.0,0.375,1.0,4.0,1.25
F05,endogenous_silent,沉寂保活,3,1,0,0,24.0,0.375,1.0,4.0,1.25
F05,endogenous_silent,沉寂保活,4,1,0,0,24.0,0.375,1.0,4.0,1.25
F05,endogenous_silent,沉寂保活,5,1,1,5,24.0,0.375,1.0,4.0,1.25
F05,attention_overheat,注意力过热,1,1,0,0,120.0,2.0,5.0,22.5,1.25
F05,attention_overheat,注意力过热,2,1,0,0,120.0,2.0,5.0,22.5,1.25
F05,attention_overheat,注意力过热,3,1,0,0,120.0,2.0,5.0,22.5,1.25
F05,attention_overheat,注意力过热,4,1,0,0,120.0,2.0,5.0,22.5,1.25
F05,attention_overheat,注意力过热,5,1,1,1,120.0,2.0,5.0,22.5,1.25
F05,ev_propagation_thin,EV传播偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.59
F05,ev_propagation_thin,EV传播偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.59
F05,ev_propagation_thin,EV传播偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.59
F05,ev_propagation_thin,EV传播偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.59
F05,ev_propagation_thin,EV传播偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.59
F05,ev_induction_thin,ER诱发偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.6
F05,ev_induction_thin,ER诱发偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.6
F05,ev_induction_thin,ER诱发偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.6
F05,ev_induction_thin,ER诱发偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.6
F05,ev_induction_thin,ER诱发偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.6
F05,ev_retention_thin,EV保留偏薄,1,1,0,0,120.0,2.0,5.0,4.0,0.9
F05,ev_retention_thin,EV保留偏薄,2,1,0,0,120.0,2.0,5.0,4.0,0.9
F05,ev_retention_thin,EV保留偏薄,3,1,0,0,120.0,2.0,5.0,4.0,0.9
F05,ev_retention_thin,EV保留偏薄,4,1,0,0,120.0,2.0,5.0,4.0,0.9
F05,ev_retention_thin,EV保留偏薄,5,1,1,1,120.0,2.0,5.0,4.0,0.9
F05,ev_saturated_retention,传播饱和转保留,1,1,0,0,120.0,2.0,5.0,4.0,0.15
F05,ev_saturated_retention,传播饱和转保留,2,1,0,0,120.0,2.0,5.0,4.0,0.15
F05,ev_saturated_retention,传播饱和转保留,3,1,0,0,120.0,2.0,5.0,4.0,0.15
F05,ev_saturated_retention,传播饱和转保留,4,1,0,0,120.0,2.0,5.0,4.0,0.15
F05,ev_saturated_retention,传播饱和转保留,5,1,1,1,120.0,2.0,5.0,4.0,0.15
F05,disabled_control,关闭调参,1,0,0,0,24.0,0.375,1.0,4.0,1.25
F05,disabled_control,关闭调参,2,0,0,0,24.0,0.375,1.0,4.0,1.25
F05,disabled_control,关闭调参,3,0,0,0,24.0,0.375,1.0,4.0,1.25
F05,disabled_control,关闭调参,4,0,0,0,24.0,0.375,1.0,4.0,1.25
F05,disabled_control,关闭调参,5,0,0,0,24.0,0.375,1.0,4.0,1.25
F06,healthy_control,健康对照,1,1,0,0,120.0,2.0,5.0,4.0,1.25
F06,healthy_control,健康对照,2,1,0,0,120.0,2.0,5.0,4.0,1.25
F06,healthy_control,健康对照,3,1,0,0,120.0,2.0,5.0,4.0,1.25
F06,healthy_control,健康对照,4,1,0,0,120.0,2.0,5.0,4.0,1.25
F06,healthy_control,健康对照,5,1,0,0,120.0,2.0,5.0,4.0,1.25
F06,endogenous_silent,沉寂保活,1,1,0,0,25.0,0.384615,1.0,4.0,1.25
F06,endogenous_silent,沉寂保活,2,1,0,0,25.0,0.384615,1.0,4.0,1.25
F06,endogenous_silent,沉寂保活,3,1,0,0,25.0,0.384615,1.0,4.0,1.25
F06,endogenous_silent,沉寂保活,4,1,0,0,25.0,0.384615,1.0,4.0,1.25
F06,endogenous_silent,沉寂保活,5,1,1,5,25.0,0.384615,1.0,4.0,1.25
F06,attention_overheat,注意力过热,1,1,0,0,120.0,2.0,5.0,23.5,1.25
F06,attention_overheat,注意力过热,2,1,0,0,120.0,2.0,5.0,23.5,1.25
F06,attention_overheat,注意力过热,3,1,0,0,120.0,2.0,5.0,23.5,1.25
F06,attention_overheat,注意力过热,4,1,0,0,120.0,2.0,5.0,23.5,1.25
