replicate,case_id,cold_abs_diff,ordered_probe_storage_treatment,ordered_probe_storage_control,ordered_probe_advantage,ordered_probe_match_diff,ordered_probe_reuse_advantage,ordered_probe_path_advantage,ordered_probe_context_support_advantage,permuted_probe_storage_treatment,permuted_probe_storage_control,permuted_probe_advantage,permuted_probe_match_diff,permuted_probe_reuse_advantage,permuted_probe_path_advantage,treatment_match_preference,control_match_preference,pass_cold_equal,pass_ordered_probe,pass_permuted_probe,pass_history_specificity,pass_mechanism
1,F01,0.0,3.4,5.7,2.3,0.01236146,-3.0,7.0,-0.00059424,5.5,3.9,1.6,0.00432786,12.0,4.0,2.1,1.8,1,1,1,1,1
1,F02,0.0,3.4,5.7,2.3,0.01236146,-3.0,7.0,-0.00059424,5.5,3.9,1.6,0.00432786,12.0,4.0,2.1,1.8,1,1,1,1,1
