family,seed_text,cue_text,branch,promotion_enabled,seed_present,cue_present,dataset_id,dataset_sha256,run_id,tick_count,source_tick_done,baseline_conforms,memory_path_mode,observe_time_like,observe_internal_time_like,observe_wildcard,observe_shadow_candidate,observe_shadow_eligible,observe_shadow_time_like_nonzero,observe_shadow_wildcard,observe_shadow_time_bonus,observe_shadow_promoted,observe_selected_promoted,shadow_candidate_count,shadow_eligible_count,shadow_promoted_count,selected_promoted_count,shadow_time_like_score_mean,shadow_time_bonus_mean,whitebox_memory_item_count,whitebox_older_runtime_memory_visible_count,whitebox_selected_match_mode,whitebox_selected_match_structure_id,whitebox_selected_match_display,whitebox_shadow_candidate_kind,whitebox_shadow_memory_id,whitebox_shadow_promoted_structure_id,whitebox_shadow_wildcard_applied,whitebox_shadow_match_mode
F08,MNO,M,on_matched,1,1,1,paper_e08_e08_final_v1_F08_on_matched,d90c7304de0700e327ca5db5e98eee86e5067e609a7ee395cd0a53c844695182,paper_e08_e08_final_v1_F08_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000632,{(M + stimulus_intensity:1.0) + (N + stimulus_intensity:1.0) + (O + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000160,st_000632,1,shadow_raw_residual_memory
F08,MNO,M,on_no_cue,1,1,0,paper_e08_e08_final_v1_F08_on_no_cue,c19c2c9bc8abfb2637b25ee81bc9c44bb33d36f704626f4661a329827fcc5bea,paper_e08_e08_final_v1_F08_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F08,MNO,M,on_no_seed,1,0,1,paper_e08_e08_final_v1_F08_on_no_seed,74683fa5d4071c1c5b8016d903f5f4ee504ce7bec2b4c3e98b10e3a9cedb6369,paper_e08_e08_final_v1_F08_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F09,TUV,T,off_matched,0,1,1,paper_e08_e08_final_v1_F09_off_matched,6b1852848fa071ae351f0d2a1d9192c741e8cc136c9f9fbbe12fdca63286c5f1,paper_e08_e08_final_v1_F09_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000745,{T},,,,0,
F09,TUV,T,on_matched,1,1,1,paper_e08_e08_final_v1_F09_on_matched,2ce917e0ffb749d718e7080b8a99e8d01d890098852aba45ce588c1a845b03b6,paper_e08_e08_final_v1_F09_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000718,{(T + stimulus_intensity:1.0) + (U + stimulus_intensity:1.0) + (V + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000182,st_000718,1,shadow_raw_residual_memory
F09,TUV,T,on_no_cue,1,1,0,paper_e08_e08_final_v1_F09_on_no_cue,fbb30bd9ddd6fb3aff5ff83dff5d2523a46d497efbb9e7efb12aa1323c2bdf71,paper_e08_e08_final_v1_F09_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F09,TUV,T,on_no_seed,1,0,1,paper_e08_e08_final_v1_F09_on_no_seed,d0f91c42579cb2c9334e54ee0b47322805afa9432f774e166de88750805faa2b,paper_e08_e08_final_v1_F09_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F10,EFG,E,off_matched,0,1,1,paper_e08_e08_final_v1_F10_off_matched,c31dfeeb5d991bfce53ba3765dc9bd70007eb2657e0c29003673d3670a3c4331,paper_e08_e08_final_v1_F10_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000831,{E},,,,0,
F10,EFG,E,on_matched,1,1,1,paper_e08_e08_final_v1_F10_on_matched,4b322797b4bc7ac5e191bf70cdfdd1282b25c82543d4671bd64fd347f77ea4e2,paper_e08_e08_final_v1_F10_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000804,{(E + stimulus_intensity:1.0) + (F + stimulus_intensity:1.0) + (G + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000204,st_000804,1,shadow_raw_residual_memory
F10,EFG,E,on_no_cue,1,1,0,paper_e08_e08_final_v1_F10_on_no_cue,e9f045168d7170a4b33708a18d62b836dd0a3f8bb0eab9ca6714b44b081e5e69,paper_e08_e08_final_v1_F10_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F10,EFG,E,on_no_seed,1,0,1,paper_e08_e08_final_v1_F10_on_no_seed,c0ac1a15559edbd97e05b39c22568b4843ab30dc4b53697556e9951c05d9cdd5,paper_e08_e08_final_v1_F10_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F11,HIJ,H,off_matched,0,1,1,paper_e08_e08_final_v1_F11_off_matched,253fc9d3fe30f7d4c5376c0bed41a30befdaf2423c84c7a659fe96dfe2cca4d5,paper_e08_e08_final_v1_F11_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_000917,{H},,,,0,
F11,HIJ,H,on_matched,1,1,1,paper_e08_e08_final_v1_F11_on_matched,8b4e893b5393e5bac3deb4ebeb10b80ba250f2271a0318db15f4a70c037dbe64,paper_e08_e08_final_v1_F11_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000890,{(H + stimulus_intensity:1.0) + (I + stimulus_intensity:1.0) + (J + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000226,st_000890,1,shadow_raw_residual_memory
F11,HIJ,H,on_no_cue,1,1,0,paper_e08_e08_final_v1_F11_on_no_cue,69aa26e7e290af22d7495e311d094750d29549bef27f6e8db9cd7af3292d8c14,paper_e08_e08_final_v1_F11_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F11,HIJ,H,on_no_seed,1,0,1,paper_e08_e08_final_v1_F11_on_no_seed,d35eff66a3690e1b56b20669161bccce280b0de3abdb3cb18b47bd719b587f7a,paper_e08_e08_final_v1_F11_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F12,BCD,B,off_matched,0,1,1,paper_e08_e08_final_v1_F12_off_matched,41a6a96b68e8582669474bc92b8ae1a324733557fb350505865bfcb4383fa6ec,paper_e08_e08_final_v1_F12_off_matched,5,5,1,runtime_em_only,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,2,anchor_atomic_fallback,st_001003,{B},,,,0,
F12,BCD,B,on_matched,1,1,1,paper_e08_e08_final_v1_F12_on_matched,a77de84fe46397aa31ea0a38486645cfe74a1ec70f63b37ba3148bf05bbfd074,paper_e08_e08_final_v1_F12_on_matched,5,5,1,runtime_em_only,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1.0,1.0,4,2,promoted_shadow_raw_residual,st_000976,{(B + stimulus_intensity:1.0) + (C + stimulus_intensity:1.0) + (D + stimulus_intensity:1.0) + punish_signal:1.987071 + cfs_pressure:0.188838 + cfs_pressure_verified:0.151287 + cfs_pressure_unverified:0.037551 + 时间感受:0.5},raw_residual_memory,em_000248,st_000976,1,shadow_raw_residual_memory
F12,BCD,B,on_no_cue,1,1,0,paper_e08_e08_final_v1_F12_on_no_cue,afe9549dceaebf44c0c755cbfcb89ada2f7fb682935ab27f5f52971ff99b55f5,paper_e08_e08_final_v1_F12_on_no_cue,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
F12,BCD,B,on_no_seed,1,0,1,paper_e08_e08_final_v1_F12_on_no_seed,53b372d7852145c9eb15b4438dc7029ac4d8109a114641b88c2f0459e6f5363b,paper_e08_e08_final_v1_F12_on_no_seed,5,5,1,runtime_em_only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,,,,,,,0,
