family,branch,prior_cp_abs,second_cp_abs,second_grasp_score,second_core_complexity_score,second_punish_state,baseline_pair_ready,has_relief,has_correct_event,has_reassurance,has_complexity,has_simplicity,relief_strength,correct_event_strength,reassurance_strength,bind_reward_signal,bind_cfs_correctness,bind_cfs_reassurance,action_focus_triggered,direct_da_delta,direct_ser_delta,direct_oxy_delta,direct_end_delta,direct_cor_delta,direct_adr_delta,attrs,actions,nt_correct_da_positive,nt_correct_oxy_positive,nt_correct_ser_positive,nt_correct_foc_positive,nt_correct_da_delta,nt_correct_oxy_delta,nt_correct_ser_delta,nt_correct_foc_delta,nt_relief_end_positive,nt_relief_ser_positive,nt_relief_oxy_positive,nt_relief_cor_negative,nt_relief_adr_negative,nt_relief_end_delta,nt_relief_ser_delta,nt_relief_oxy_delta,nt_relief_cor_delta,nt_relief_adr_delta,nt_reassure_ser_positive,nt_reassure_oxy_positive,nt_reassure_end_positive,nt_reassure_da_positive,nt_reassure_foc_positive,nt_reassure_cor_negative,nt_reassure_adr_negative,nt_reassure_ser_delta,nt_reassure_oxy_delta,nt_reassure_end_delta,nt_reassure_da_delta,nt_reassure_foc_delta,nt_reassure_cor_delta,nt_reassure_adr_delta
F03,relief_only,1.26,0.54,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,correct_event_block_current_cp,1.3,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,correct_event_on,1.3,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.82857143,0.0,1,1,0,1,0.09942857,0.05222857,0.07228571,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09942857,0.06628571,0.04142857,0.02485714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,reassurance_block_high_complexity,1.3,0.24,0.6,0.46,0.22,1,1,1,0,1,0,0.24,0.88,0.0,1,1,0,1,0.1056,0.0548,0.0742,0.0278,0.01477143,0.00957143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.1056,0.0704,0.044,0.0264,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,reassurance_block_high_punish,1.3,0.24,0.6,0.2,0.72,1,0,1,0,1,0,0.0,0.88,0.0,1,1,0,1,0.1056,0.044,0.0632,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.1056,0.0704,0.044,0.0264,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,reassurance_block_low_grasp,1.3,0.24,0.12,0.2,0.22,1,1,1,0,1,0,0.24,0.88,0.0,1,1,0,1,0.1056,0.0548,0.0742,0.0278,0.011,0.0058,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.1056,0.0704,0.044,0.0264,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F04,reassurance_on,1.3,0.24,0.6,0.2,0.22,1,1,1,1,1,1,0.24,0.88,0.72215385,1,1,1,1,0.13205385,0.11492923,0.11030769,0.06416462,-0.02267538,-0.01494308,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.1056,0.0704,0.044,0.0264,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04332923,0.03610769,0.02166462,0.01805385,0.01444308,-0.02527538,-0.01444308
F04,relief_only,1.3,0.49,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,correct_event_block_current_cp,1.34,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,correct_event_on,1.34,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.86285714,0.0,1,1,0,1,0.10354286,0.05394286,0.07502857,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,reassurance_block_high_complexity,1.34,0.32,0.44,0.46,0.24,1,1,1,0,1,0,0.24,0.84571429,0.0,1,1,0,1,0.10148571,0.05308571,0.07125714,0.0288,0.01637143,0.01037143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10148571,0.06765714,0.04228571,0.02537143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,reassurance_block_high_punish,1.34,0.32,0.44,0.26,0.72,1,0,1,0,1,0,0.0,0.84571429,0.0,1,1,0,1,0.10148571,0.04228571,0.06045714,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10148571,0.06765714,0.04228571,0.02537143,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,reassurance_block_low_grasp,1.34,0.32,0.12,0.26,0.24,1,1,1,0,1,0,0.24,0.84571429,0.0,1,1,0,1,0.10148571,0.05308571,0.07125714,0.0288,0.0126,0.0066,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10148571,0.06765714,0.04228571,0.02537143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F05,reassurance_on,1.34,0.32,0.44,0.26,0.24,1,1,1,1,1,1,0.24,0.84571429,0.68276923,1,1,1,1,0.12455495,0.10605187,0.1053956,0.05978308,-0.01729692,-0.01155538,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10148571,0.06765714,0.04228571,0.02537143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04096615,0.03413846,0.02048308,0.01706923,0.01365538,-0.02389692,-0.01365538
F05,relief_only,1.34,0.47,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,correct_event_block_current_cp,1.38,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,correct_event_on,1.38,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.89714286,0.0,1,1,0,1,0.10765714,0.05565714,0.07777143,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10765714,0.07177143,0.04485714,0.02691429,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,reassurance_block_high_complexity,1.38,0.34,0.46,0.46,0.26,1,1,1,0,1,0,0.24,0.86285714,0.0,1,1,0,1,0.10354286,0.05394286,0.07242857,0.0298,0.01797143,0.01117143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,reassurance_block_high_punish,1.38,0.34,0.46,0.28,0.72,1,0,1,0,1,0,0.0,0.86285714,0.0,1,1,0,1,0.10354286,0.04314286,0.06182857,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,reassurance_block_low_grasp,1.38,0.34,0.12,0.28,0.26,1,1,1,0,1,0,0.24,0.86285714,0.0,1,1,0,1,0.10354286,0.05394286,0.07242857,0.0298,0.0142,0.0074,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F06,reassurance_on,1.38,0.34,0.46,0.28,0.26,1,1,1,1,1,1,0.24,0.86285714,0.70246154,1,1,1,1,0.1263044,0.10649055,0.10755165,0.05997385,-0.01558615,-0.01054923,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04214769,0.03512308,0.02107385,0.01756154,0.01404923,-0.02458615,-0.01404923
F06,relief_only,1.38,0.51,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,correct_event_block_current_cp,1.2,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,correct_event_on,1.2,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.74285714,0.0,1,1,0,1,0.08914286,0.04794286,0.06542857,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.08914286,0.05942857,0.03714286,0.02228571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,reassurance_block_high_complexity,1.2,0.22,0.62,0.46,0.12,1,1,1,0,1,0,0.24,0.81142857,0.0,1,1,0,1,0.09737143,0.05137143,0.06971429,0.0228,0.00677143,0.00557143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09737143,0.06491429,0.04057143,0.02434286,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,reassurance_block_high_punish,1.2,0.22,0.62,0.16,0.72,1,0,1,0,1,0,0.0,0.81142857,0.0,1,1,0,1,0.09737143,0.04057143,0.05771429,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09737143,0.06491429,0.04057143,0.02434286,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,reassurance_block_low_grasp,1.2,0.22,0.12,0.16,0.12,1,1,1,0,1,0,0.24,0.81142857,0.0,1,1,0,1,0.09737143,0.05137143,0.06971429,0.0228,0.003,0.0018,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09737143,0.06491429,0.04057143,0.02434286,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F07,reassurance_on,1.2,0.22,0.62,0.16,0.12,1,1,1,1,1,1,0.24,0.81142857,0.64338462,1,1,1,1,0.12345604,0.10997451,0.10188352,0.05960154,-0.02951846,-0.01856769,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.09737143,0.06491429,0.04057143,0.02434286,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.03860308,0.03216923,0.01930154,0.01608462,0.01286769,-0.02251846,-0.01286769
F07,relief_only,1.2,0.53,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,correct_event_block_current_cp,1.24,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,correct_event_on,1.24,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.77714286,0.0,1,1,0,1,0.09325714,0.04965714,0.06817143,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09325714,0.06217143,0.03885714,0.02331429,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,reassurance_block_high_complexity,1.24,0.2,0.66,0.46,0.1,1,1,1,0,1,0,0.24,0.86285714,0.0,1,1,0,1,0.10354286,0.05394286,0.07402857,0.0218,0.00517143,0.00477143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,reassurance_block_high_punish,1.24,0.2,0.66,0.14,0.72,1,0,1,0,1,0,0.0,0.86285714,0.0,1,1,0,1,0.10354286,0.04314286,0.06182857,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,reassurance_block_low_grasp,1.24,0.2,0.12,0.14,0.1,1,1,1,0,1,0,0.24,0.86285714,0.0,1,1,0,1,0.10354286,0.05394286,0.07402857,0.0218,0.0014,0.001,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F08,reassurance_on,1.24,0.2,0.66,0.14,0.1,1,1,1,1,1,1,0.24,0.86285714,0.70246154,1,1,1,1,0.1319044,0.11769055,0.10915165,0.06177385,-0.03398615,-0.02114923,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10354286,0.06902857,0.04314286,0.02588571,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04214769,0.03512308,0.02107385,0.01756154,0.01404923,-0.02458615,-0.01404923
F08,relief_only,1.24,0.48,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,correct_event_block_current_cp,1.28,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,correct_event_on,1.28,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.81142857,0.0,1,1,0,1,0.09737143,0.05137143,0.07091429,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.09737143,0.06491429,0.04057143,0.02434286,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,reassurance_block_high_complexity,1.28,0.36,0.42,0.46,0.28,1,1,1,0,1,0,0.24,0.76,0.0,1,1,0,1,0.0912,0.0488,0.064,0.0308,0.01957143,0.01197143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.0912,0.0608,0.038,0.0228,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,reassurance_block_high_punish,1.28,0.36,0.42,0.3,0.72,1,0,1,0,1,0,0.0,0.76,0.0,1,1,0,1,0.0912,0.038,0.0536,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.0912,0.0608,0.038,0.0228,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,reassurance_block_low_grasp,1.28,0.36,0.12,0.3,0.28,1,1,1,0,1,0,0.24,0.76,0.0,1,1,0,1,0.0912,0.0488,0.064,0.0308,0.0158,0.0082,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.0912,0.0608,0.038,0.0228,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F09,reassurance_on,1.28,0.36,0.42,0.3,0.28,1,1,1,1,1,1,0.24,0.76,0.58430769,1,1,1,1,0.11020769,0.09265846,0.09321538,0.05602923,-0.00905077,-0.00678615,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.0912,0.0608,0.038,0.0228,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.03505846,0.02921538,0.01752923,0.01460769,0.01168615,-0.02045077,-0.01168615
F09,relief_only,1.28,0.46,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F10,correct_event_block_current_cp,1.32,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
