family,branch,prior_cp_abs,second_cp_abs,second_grasp_score,second_core_complexity_score,second_punish_state,baseline_pair_ready,has_relief,has_correct_event,has_reassurance,has_complexity,has_simplicity,relief_strength,correct_event_strength,reassurance_strength,bind_reward_signal,bind_cfs_correctness,bind_cfs_reassurance,action_focus_triggered,direct_da_delta,direct_ser_delta,direct_oxy_delta,direct_end_delta,direct_cor_delta,direct_adr_delta,attrs,actions,nt_correct_da_positive,nt_correct_oxy_positive,nt_correct_ser_positive,nt_correct_foc_positive,nt_correct_da_delta,nt_correct_oxy_delta,nt_correct_ser_delta,nt_correct_foc_delta,nt_relief_end_positive,nt_relief_ser_positive,nt_relief_oxy_positive,nt_relief_cor_negative,nt_relief_adr_negative,nt_relief_end_delta,nt_relief_ser_delta,nt_relief_oxy_delta,nt_relief_cor_delta,nt_relief_adr_delta,nt_reassure_ser_positive,nt_reassure_oxy_positive,nt_reassure_end_positive,nt_reassure_da_positive,nt_reassure_foc_positive,nt_reassure_cor_negative,nt_reassure_adr_negative,nt_reassure_ser_delta,nt_reassure_oxy_delta,nt_reassure_end_delta,nt_reassure_da_delta,nt_reassure_foc_delta,nt_reassure_cor_delta,nt_reassure_adr_delta
F11,reassurance_block_low_grasp,1.36,0.27,0.12,0.21,0.14,1,1,1,0,1,0,0.24,0.90571429,0.0,1,1,0,1,0.10868571,0.05608571,0.07705714,0.0238,0.0046,0.0026,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10868571,0.07245714,0.04528571,0.02717143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F11,reassurance_on,1.36,0.27,0.5,0.21,0.14,1,1,1,1,1,1,0.24,0.90571429,0.75169231,1,1,1,1,0.13547802,0.11718725,0.11464176,0.06035077,-0.02970923,-0.01843385,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10868571,0.07245714,0.04528571,0.02717143,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04510154,0.03758462,0.02255077,0.01879231,0.01503385,-0.02630923,-0.01503385
F11,relief_only,1.36,0.5,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,correct_event_block_current_cp,1.4,0.8,0.0,0.52,0.0,1,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,cfs_complexity|cfs_dissonance,,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,correct_event_on,1.4,0.3,0.0,0.52,0.0,1,1,1,0,0,0,0.24,0.91428571,0.0,1,1,0,1,0.10971429,0.05651429,0.07914286,0.0168,-0.0096,-0.006,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10971429,0.07314286,0.04571429,0.02742857,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,reassurance_block_high_complexity,1.4,0.33,0.54,0.46,0.19,1,1,1,0,1,0,0.24,0.88857143,0.0,1,1,0,1,0.10662857,0.05522857,0.07518571,0.0263,0.01237143,0.00837143,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_focus,1,1,1,1,0.10662857,0.07108571,0.04442857,0.02665714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,reassurance_block_high_punish,1.4,0.33,0.54,0.23,0.72,1,0,1,0,1,0,0.0,0.88857143,0.0,1,1,0,1,0.10662857,0.04442857,0.06388571,0.036,0.0606,0.0318,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10662857,0.07108571,0.04442857,0.02665714,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,reassurance_block_low_grasp,1.4,0.33,0.12,0.23,0.19,1,1,1,0,1,0,0.24,0.88857143,0.0,1,1,0,1,0.10662857,0.05522857,0.07518571,0.0263,0.0086,0.0046,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_relief|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10662857,0.07108571,0.04442857,0.02665714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F12,reassurance_on,1.4,0.33,0.54,0.23,0.19,1,1,1,1,1,1,0.24,0.88857143,0.732,1,1,1,1,0.13212857,0.11354857,0.11178571,0.06086,-0.02422,-0.01544,cfs_complexity|cfs_correct_event|cfs_correctness|cfs_dissonance|cfs_reassurance|cfs_relief|cfs_simplicity|reward_signal,attention_diverge_mode|attention_focus,1,1,1,1,0.10662857,0.07108571,0.04442857,0.02665714,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,1,1,1,1,1,1,1,0.04392,0.0366,0.02196,0.0183,0.01464,-0.02562,-0.01464
F12,relief_only,1.4,0.52,0.0,0.52,0.12,1,1,0,0,0,0,0.24,0.0,0.0,0,0,0,0,0.0,0.0108,0.0048,0.0228,0.0,-0.0012,cfs_complexity|cfs_dissonance|cfs_relief,,0,0,0,0,0.0,0.0,0.0,0.0,1,1,1,1,1,0.0168,0.0108,0.006,-0.0096,-0.006,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
