family,branch,round_index,frontier_in_count,frontier_out_count,frontier_pruned_count,frontier_memory_terminal_count,root_reinduction_count,frontier_budget_ev,root_induction_budget_ev,round_delta_ev
F05,width_cap_one,2,1,1,2,2,1,0.7236,0.2788,1.0024
F05,width_cap_one,3,1,1,1,1,1,0.0,0.228616,0.228616
F05,width_cap_one,4,1,1,2,2,1,0.12345264,0.18746512,0.31091775
F05,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F05,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F05,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F06,deep_multilayer,1,1,2,0,2,0,1.0,0.35,1.35
F06,deep_multilayer,2,2,4,0,3,1,1.08,0.287,1.367
F06,deep_multilayer,3,4,4,0,3,1,0.2296,0.23534,0.46494
F06,deep_multilayer,4,4,4,0,3,1,0.188272,0.1929788,0.3812508
F06,single_round_cap,1,1,2,0,2,0,1.0,0.35,1.35
F06,high_frontier_threshold,1,1,2,0,2,0,1.0,0.35,1.35
F06,high_frontier_threshold,2,2,2,2,1,1,0.0,0.287,0.287
F06,high_frontier_threshold,3,2,2,2,1,1,0.0,0.23534,0.23534
F06,high_frontier_threshold,4,2,2,2,1,1,0.0,0.1929788,0.1929788
F06,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F06,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F06,width_cap_one,1,1,1,1,2,0,1.0,0.35,1.35
F06,width_cap_one,2,1,1,2,2,1,0.6615,0.287,0.9485
F06,width_cap_one,3,1,1,1,1,1,0.0,0.23534,0.23534
F06,width_cap_one,4,1,1,2,2,1,0.1153166,0.1929788,0.3082954
F06,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F06,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F06,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F07,deep_multilayer,1,1,2,0,2,0,1.0,0.36,1.36
F07,deep_multilayer,2,2,4,0,3,1,1.088,0.2952,1.3832
F07,deep_multilayer,3,4,4,0,3,1,0.23616,0.242064,0.478224
F07,deep_multilayer,4,4,4,0,3,1,0.1936512,0.19849248,0.39214368
F07,single_round_cap,1,1,2,0,2,0,1.0,0.36,1.36
F07,high_frontier_threshold,1,1,2,0,2,0,1.0,0.36,1.36
F07,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2952,0.2952
F07,high_frontier_threshold,3,2,2,2,1,1,0.0,0.242064,0.242064
F07,high_frontier_threshold,4,2,2,2,1,1,0.0,0.19849248,0.19849248
F07,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F07,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F07,width_cap_one,1,1,1,1,2,0,1.0,0.36,1.36
F07,width_cap_one,2,1,1,2,2,1,0.6528,0.2952,0.948
F07,width_cap_one,3,1,1,1,1,1,0.0,0.242064,0.242064
F07,width_cap_one,4,1,1,2,2,1,0.11619072,0.19849248,0.3146832
F07,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F07,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F07,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F08,deep_multilayer,1,1,2,0,2,0,1.0,0.37,1.37
F08,deep_multilayer,2,2,4,0,3,1,1.096,0.3034,1.3994
F08,deep_multilayer,3,4,4,0,3,1,0.24272,0.248788,0.491508
F08,deep_multilayer,4,4,4,1,3,1,0.1990304,0.20400616,0.40303656
F08,single_round_cap,1,1,2,0,2,0,1.0,0.37,1.37
F08,high_frontier_threshold,1,1,2,0,2,0,1.0,0.37,1.37
F08,high_frontier_threshold,2,2,2,2,1,1,0.0,0.3034,0.3034
F08,high_frontier_threshold,3,2,2,2,1,1,0.0,0.248788,0.248788
F08,high_frontier_threshold,4,2,2,2,1,1,0.0,0.20400616,0.20400616
F08,high_budget_threshold,1,1,2,0,1,0,1.0,0.0,1.0
F08,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F08,width_cap_one,1,1,1,1,2,0,1.0,0.37,1.37
F08,width_cap_one,2,1,1,2,2,1,0.7535,0.3034,1.0569
F08,width_cap_one,3,1,1,1,1,1,0.0,0.248788,0.248788
F08,width_cap_one,4,1,1,2,2,1,0.1368334,0.20400616,0.34083956
F08,no_er_reinduction,1,1,2,0,1,0,1.0,0.0,1.0
F08,no_er_reinduction,2,2,2,0,2,0,0.8,0.0,0.8
F08,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F09,deep_multilayer,1,1,2,0,2,0,1.02,0.3,1.32
F09,deep_multilayer,2,2,4,0,3,1,1.0824,0.246,1.3284
F09,deep_multilayer,3,4,4,0,3,1,0.20172,0.20172,0.40344
F09,deep_multilayer,4,4,4,1,3,1,0.1654104,0.1654104,0.3308208
F09,single_round_cap,1,1,2,0,2,0,1.02,0.3,1.32
F09,high_frontier_threshold,1,1,2,0,2,0,1.02,0.3,1.32
F09,high_frontier_threshold,2,2,2,2,1,1,0.0,0.246,0.246
F09,high_frontier_threshold,3,2,2,2,1,1,0.0,0.20172,0.20172
F09,high_frontier_threshold,4,2,2,2,1,1,0.0,0.1654104,0.1654104
F09,high_budget_threshold,1,1,2,0,1,0,1.02,0.0,1.02
F09,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F09,width_cap_one,1,1,1,1,2,0,1.02,0.3,1.32
F09,width_cap_one,2,1,1,2,2,1,0.6864,0.246,0.9324
F09,width_cap_one,3,1,1,1,1,1,0.0,0.20172,0.20172
F09,width_cap_one,4,1,1,2,2,1,0.1048944,0.1654104,0.2703048
F09,no_er_reinduction,1,1,2,0,1,0,1.02,0.0,1.02
F09,no_er_reinduction,2,2,2,0,2,0,0.8364,0.0,0.8364
F09,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F10,deep_multilayer,1,1,2,0,2,0,1.02,0.32,1.34
F10,deep_multilayer,2,2,4,0,3,1,1.0988,0.2624,1.3612
F10,deep_multilayer,3,4,4,0,3,1,0.215168,0.215168,0.430336
F10,deep_multilayer,4,4,4,0,3,1,0.17643776,0.17643776,0.35287552
F10,single_round_cap,1,1,2,0,2,0,1.02,0.32,1.34
F10,high_frontier_threshold,1,1,2,0,2,0,1.02,0.32,1.34
F10,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2624,0.2624
F10,high_frontier_threshold,3,2,2,2,1,1,0.0,0.215168,0.215168
F10,high_frontier_threshold,4,2,2,2,1,1,0.0,0.17643776,0.17643776
F10,high_budget_threshold,1,1,2,0,1,0,1.02,0.0,1.02
F10,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F10,width_cap_one,1,1,1,1,2,0,1.02,0.32,1.34
F10,width_cap_one,2,1,1,2,2,1,0.67,0.2624,0.9324
F10,width_cap_one,3,1,1,1,1,1,0.0,0.215168,0.215168
F10,width_cap_one,4,1,1,2,2,1,0.107584,0.17643776,0.28402176
F10,no_er_reinduction,1,1,2,0,1,0,1.02,0.0,1.02
F10,no_er_reinduction,2,2,2,0,2,0,0.8364,0.0,0.8364
F10,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F11,deep_multilayer,1,1,2,0,2,0,1.02,0.34,1.36
F11,deep_multilayer,2,2,4,0,3,1,1.1152,0.2788,1.394
F11,deep_multilayer,3,4,4,0,3,1,0.228616,0.228616,0.457232
F11,deep_multilayer,4,4,4,1,3,1,0.18746512,0.18746512,0.37493023
F11,single_round_cap,1,1,2,0,2,0,1.02,0.34,1.36
F11,high_frontier_threshold,1,1,2,0,2,0,1.02,0.34,1.36
F11,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2788,0.2788
F11,high_frontier_threshold,3,2,2,2,1,1,0.0,0.228616,0.228616
F11,high_frontier_threshold,4,2,2,2,1,1,0.0,0.18746512,0.18746511
F11,high_budget_threshold,1,1,2,0,1,0,1.02,0.0,1.02
F11,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F11,width_cap_one,1,1,1,1,2,0,1.02,0.34,1.36
F11,width_cap_one,2,1,1,2,2,1,0.7344,0.2788,1.0132
F11,width_cap_one,3,1,1,1,1,1,0.0,0.228616,0.228616
F11,width_cap_one,4,1,1,2,2,1,0.12345264,0.18746512,0.31091775
F11,no_er_reinduction,1,1,2,0,1,0,1.02,0.0,1.02
F11,no_er_reinduction,2,2,2,0,2,0,0.8364,0.0,0.8364
F11,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
F12,deep_multilayer,1,1,2,0,2,0,1.02,0.36,1.38
F12,deep_multilayer,2,2,4,0,3,1,1.1316,0.2952,1.4268
F12,deep_multilayer,3,4,4,0,3,1,0.242064,0.242064,0.484128
F12,deep_multilayer,4,4,4,0,3,1,0.19849248,0.19849248,0.39698496
F12,single_round_cap,1,1,2,0,2,0,1.02,0.36,1.38
F12,high_frontier_threshold,1,1,2,0,2,0,1.02,0.36,1.38
F12,high_frontier_threshold,2,2,2,2,1,1,0.0,0.2952,0.2952
F12,high_frontier_threshold,3,2,2,2,1,1,0.0,0.242064,0.242064
F12,high_frontier_threshold,4,2,2,2,1,1,0.0,0.19849248,0.19849248
F12,high_budget_threshold,1,1,2,0,1,0,1.02,0.0,1.02
F12,high_budget_threshold,2,2,0,2,0,0,0.0,0.0,0.0
F12,width_cap_one,1,1,1,1,2,0,1.02,0.36,1.38
F12,width_cap_one,2,1,1,2,2,1,0.6624,0.2952,0.9576
F12,width_cap_one,3,1,1,1,1,1,0.0,0.242064,0.242064
F12,width_cap_one,4,1,1,2,2,1,0.11619072,0.19849248,0.3146832
F12,no_er_reinduction,1,1,2,0,1,0,1.02,0.0,1.02
F12,no_er_reinduction,2,2,2,0,2,0,0.8364,0.0,0.8364
F12,no_er_reinduction,3,2,0,0,0,0,0.0,0.0,0.0
