family,branch,target_index,projection_kind,memory_id,target_structure_id,target_display_text,delta_ev,runtime_weight,modes,energy_graph_round_first,energy_graph_round_last,energy_graph_depth_min,energy_graph_depth_max,energy_graph_emit_count,frontier_source_kinds
F02,deep_multilayer,5,memory,em_000019,st_000052,{A + M},0.18871362,2.0,er_induction,1,4,1,1,4,root_er
F02,deep_multilayer,6,structure,,st_000053,{A + B + D},0.56955052,6.3,ev_propagation,2,4,2,2,3,frontier_ev
F02,deep_multilayer,7,memory,em_000020,st_000054,{A + B + E},0.33449792,3.7,ev_propagation,2,4,2,2,3,frontier_ev
F02,deep_multilayer,8,structure,,st_000055,{A + C + F},0.30329939,5.9,ev_propagation,2,4,2,2,3,frontier_ev
F02,deep_multilayer,9,memory,em_000021,st_000056,{A + C + G},0.21076737,4.1,ev_propagation,2,4,2,2,3,frontier_ev
F02,single_round_cap,0,structure,,st_000058,{A + B},0.51,5.1,ev_propagation,1,1,1,1,1,root_ev
F02,single_round_cap,1,structure,,st_000059,{A + C},0.29,2.9,ev_propagation,1,1,1,1,1,root_ev
F02,single_round_cap,2,memory,em_000022,st_000060,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F02,single_round_cap,3,structure,,st_000058,{A + B},0.1581,5.1,er_induction,1,1,1,1,1,root_er
F02,single_round_cap,4,structure,,st_000059,{A + C},0.0899,2.9,er_induction,1,1,1,1,1,root_er
F02,single_round_cap,5,memory,em_000022,st_000060,{A + M},0.062,2.0,er_induction,1,1,1,1,1,root_er
F02,high_frontier_threshold,0,structure,,st_000066,{A + B},0.51,5.1,ev_propagation,1,1,1,1,1,root_ev
F02,high_frontier_threshold,1,structure,,st_000067,{A + C},0.29,2.9,ev_propagation,1,1,1,1,1,root_ev
F02,high_frontier_threshold,2,memory,em_000025,st_000068,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F02,high_frontier_threshold,3,structure,,st_000066,{A + B},0.48121972,5.1,er_induction,1,4,1,1,4,root_er
F02,high_frontier_threshold,4,structure,,st_000067,{A + C},0.27363474,2.9,er_induction,1,4,1,1,4,root_er
F02,high_frontier_threshold,5,memory,em_000025,st_000068,{A + M},0.18871362,2.0,er_induction,1,4,1,1,4,root_er
F02,high_budget_threshold,0,structure,,st_000074,{A + B},0.51,5.1,ev_propagation,1,1,1,1,1,root_ev
F02,high_budget_threshold,1,structure,,st_000075,{A + C},0.29,2.9,ev_propagation,1,1,1,1,1,root_ev
F02,high_budget_threshold,2,memory,em_000028,st_000076,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F02,width_cap_one,0,structure,,st_000082,{A + B},0.51,5.1,ev_propagation,1,1,1,1,1,root_ev
F02,width_cap_one,1,structure,,st_000083,{A + C},0.29,2.9,ev_propagation,1,1,1,1,1,root_ev
F02,width_cap_one,2,memory,em_000031,st_000084,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F02,width_cap_one,3,structure,,st_000082,{A + B},0.48121972,5.1,er_induction,1,4,1,1,4,root_er
F02,width_cap_one,4,structure,,st_000083,{A + C},0.27363474,2.9,er_induction,1,4,1,1,4,root_er
F02,width_cap_one,5,memory,em_000031,st_000084,{A + M},0.18871362,2.0,er_induction,1,4,1,1,4,root_er
F02,width_cap_one,6,structure,,st_000085,{A + B + D},0.48787606,6.3,ev_propagation,2,4,2,2,2,frontier_ev
F02,width_cap_one,7,memory,em_000032,st_000086,{A + B + E},0.28653038,3.7,ev_propagation,2,4,2,2,2,frontier_ev
F02,no_er_reinduction,0,structure,,st_000090,{A + B},0.51,5.1,ev_propagation,1,1,1,1,1,root_ev
F02,no_er_reinduction,1,structure,,st_000091,{A + C},0.29,2.9,ev_propagation,1,1,1,1,1,root_ev
F02,no_er_reinduction,2,memory,em_000034,st_000092,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F02,no_er_reinduction,3,structure,,st_000093,{A + B + D},0.3213,6.3,ev_propagation,2,2,2,2,1,frontier_ev
F02,no_er_reinduction,4,memory,em_000035,st_000094,{A + B + E},0.1887,3.7,ev_propagation,2,2,2,2,1,frontier_ev
F02,no_er_reinduction,5,structure,,st_000095,{A + C + F},0.1711,5.9,ev_propagation,2,2,2,2,1,frontier_ev
F02,no_er_reinduction,6,memory,em_000036,st_000096,{A + C + G},0.1189,4.1,ev_propagation,2,2,2,2,1,frontier_ev
F03,deep_multilayer,0,structure,,st_000098,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,deep_multilayer,1,structure,,st_000099,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,deep_multilayer,2,memory,em_000037,st_000100,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,deep_multilayer,3,structure,,st_000098,{A + B},0.48700288,5.0,er_induction,1,4,1,1,4,root_er
F03,deep_multilayer,4,structure,,st_000099,{A + C},0.29220173,3.0,er_induction,1,4,1,1,4,root_er
F03,deep_multilayer,5,memory,em_000037,st_000100,{A + M},0.19480115,2.0,er_induction,1,4,1,1,4,root_er
F03,deep_multilayer,6,structure,,st_000101,{A + B + D},0.55724608,6.2,ev_propagation,2,4,2,2,3,frontier_ev
F03,deep_multilayer,7,memory,em_000038,st_000102,{A + B + E},0.34153792,3.8,ev_propagation,2,4,2,2,3,frontier_ev
F03,deep_multilayer,8,structure,,st_000103,{A + C + F},0.32356224,6.0,ev_propagation,2,4,2,2,3,frontier_ev
F03,deep_multilayer,9,memory,em_000039,st_000104,{A + C + G},0.21570816,4.0,ev_propagation,2,4,2,2,3,frontier_ev
F03,single_round_cap,0,structure,,st_000106,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,single_round_cap,1,structure,,st_000107,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,single_round_cap,2,memory,em_000040,st_000108,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,single_round_cap,3,structure,,st_000106,{A + B},0.16,5.0,er_induction,1,1,1,1,1,root_er
F03,single_round_cap,4,structure,,st_000107,{A + C},0.096,3.0,er_induction,1,1,1,1,1,root_er
F03,single_round_cap,5,memory,em_000040,st_000108,{A + M},0.064,2.0,er_induction,1,1,1,1,1,root_er
F03,high_frontier_threshold,0,structure,,st_000114,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,high_frontier_threshold,1,structure,,st_000115,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,high_frontier_threshold,2,memory,em_000043,st_000116,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,high_frontier_threshold,3,structure,,st_000114,{A + B},0.48700288,5.0,er_induction,1,4,1,1,4,root_er
F03,high_frontier_threshold,4,structure,,st_000115,{A + C},0.29220173,3.0,er_induction,1,4,1,1,4,root_er
F03,high_frontier_threshold,5,memory,em_000043,st_000116,{A + M},0.19480115,2.0,er_induction,1,4,1,1,4,root_er
F03,high_budget_threshold,0,structure,,st_000122,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,high_budget_threshold,1,structure,,st_000123,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,high_budget_threshold,2,memory,em_000046,st_000124,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,width_cap_one,0,structure,,st_000130,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,width_cap_one,1,structure,,st_000131,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,width_cap_one,2,memory,em_000049,st_000132,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,width_cap_one,3,structure,,st_000130,{A + B},0.48700288,5.0,er_induction,1,4,1,1,4,root_er
F03,width_cap_one,4,structure,,st_000131,{A + C},0.29220173,3.0,er_induction,1,4,1,1,4,root_er
F03,width_cap_one,5,memory,em_000049,st_000132,{A + M},0.19480115,2.0,er_induction,1,4,1,1,4,root_er
F03,width_cap_one,6,structure,,st_000133,{A + B + D},0.47590208,6.2,ev_propagation,2,4,2,2,2,frontier_ev
F03,width_cap_one,7,memory,em_000050,st_000134,{A + B + E},0.29168192,3.8,ev_propagation,2,4,2,2,2,frontier_ev
F03,no_er_reinduction,0,structure,,st_000138,{A + B},0.5,5.0,ev_propagation,1,1,1,1,1,root_ev
F03,no_er_reinduction,1,structure,,st_000139,{A + C},0.3,3.0,ev_propagation,1,1,1,1,1,root_ev
F03,no_er_reinduction,2,memory,em_000052,st_000140,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F03,no_er_reinduction,3,structure,,st_000141,{A + B + D},0.31,6.2,ev_propagation,2,2,2,2,1,frontier_ev
F03,no_er_reinduction,4,memory,em_000053,st_000142,{A + B + E},0.19,3.8,ev_propagation,2,2,2,2,1,frontier_ev
F03,no_er_reinduction,5,structure,,st_000143,{A + C + F},0.18,6.0,ev_propagation,2,2,2,2,1,frontier_ev
F03,no_er_reinduction,6,memory,em_000054,st_000144,{A + C + G},0.12,4.0,ev_propagation,2,2,2,2,1,frontier_ev
F04,deep_multilayer,0,structure,,st_000146,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,deep_multilayer,1,structure,,st_000147,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,deep_multilayer,2,memory,em_000055,st_000148,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,deep_multilayer,3,structure,,st_000146,{A + B},0.53235502,5.3,er_induction,1,4,1,1,4,root_er
F04,deep_multilayer,4,structure,,st_000147,{A + C},0.27119973,2.7,er_induction,1,4,1,1,4,root_er
F04,deep_multilayer,5,memory,em_000055,st_000148,{A + M},0.20088869,2.0,er_induction,1,4,1,1,4,root_er
F04,deep_multilayer,6,structure,,st_000149,{A + B + D},0.62784849,6.5,ev_propagation,2,4,2,2,3,frontier_ev
F04,deep_multilayer,7,memory,em_000056,st_000150,{A + B + E},0.33807227,3.5,ev_propagation,2,4,2,2,3,frontier_ev
F04,deep_multilayer,8,structure,,st_000151,{A + C + F},0.28048152,5.7,ev_propagation,2,4,2,2,3,frontier_ev
F04,deep_multilayer,9,memory,em_000057,st_000152,{A + C + G},0.21159132,4.3,ev_propagation,2,4,2,2,3,frontier_ev
F04,single_round_cap,0,structure,,st_000154,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,single_round_cap,1,structure,,st_000155,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,single_round_cap,2,memory,em_000058,st_000156,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,single_round_cap,3,structure,,st_000154,{A + B},0.1749,5.3,er_induction,1,1,1,1,1,root_er
F04,single_round_cap,4,structure,,st_000155,{A + C},0.0891,2.7,er_induction,1,1,1,1,1,root_er
F04,single_round_cap,5,memory,em_000058,st_000156,{A + M},0.066,2.0,er_induction,1,1,1,1,1,root_er
F04,high_frontier_threshold,0,structure,,st_000162,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,high_frontier_threshold,1,structure,,st_000163,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,high_frontier_threshold,2,memory,em_000061,st_000164,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,high_frontier_threshold,3,structure,,st_000162,{A + B},0.53235502,5.3,er_induction,1,4,1,1,4,root_er
F04,high_frontier_threshold,4,structure,,st_000163,{A + C},0.27119973,2.7,er_induction,1,4,1,1,4,root_er
F04,high_frontier_threshold,5,memory,em_000061,st_000164,{A + M},0.20088869,2.0,er_induction,1,4,1,1,4,root_er
F04,high_budget_threshold,0,structure,,st_000170,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,high_budget_threshold,1,structure,,st_000171,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,high_budget_threshold,2,memory,em_000064,st_000172,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,width_cap_one,0,structure,,st_000178,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,width_cap_one,1,structure,,st_000179,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,width_cap_one,2,memory,em_000067,st_000180,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,width_cap_one,3,structure,,st_000178,{A + B},0.53235502,5.3,er_induction,1,4,1,1,4,root_er
F04,width_cap_one,4,structure,,st_000179,{A + C},0.27119973,2.7,er_induction,1,4,1,1,4,root_er
F04,width_cap_one,5,memory,em_000067,st_000180,{A + M},0.20088869,2.0,er_induction,1,4,1,1,4,root_er
F04,width_cap_one,6,structure,,st_000181,{A + B + D},0.53462679,6.5,ev_propagation,2,4,2,2,2,frontier_ev
F04,width_cap_one,7,memory,em_000068,st_000182,{A + B + E},0.28787597,3.5,ev_propagation,2,4,2,2,2,frontier_ev
F04,no_er_reinduction,0,structure,,st_000186,{A + B},0.53,5.3,ev_propagation,1,1,1,1,1,root_ev
F04,no_er_reinduction,1,structure,,st_000187,{A + C},0.27,2.7,ev_propagation,1,1,1,1,1,root_ev
F04,no_er_reinduction,2,memory,em_000070,st_000188,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F04,no_er_reinduction,3,structure,,st_000189,{A + B + D},0.3445,6.5,ev_propagation,2,2,2,2,1,frontier_ev
F04,no_er_reinduction,4,memory,em_000071,st_000190,{A + B + E},0.1855,3.5,ev_propagation,2,2,2,2,1,frontier_ev
F04,no_er_reinduction,5,structure,,st_000191,{A + C + F},0.1539,5.7,ev_propagation,2,2,2,2,1,frontier_ev
F04,no_er_reinduction,6,memory,em_000072,st_000192,{A + C + G},0.1161,4.3,ev_propagation,2,2,2,2,1,frontier_ev
F05,deep_multilayer,0,structure,,st_000194,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,deep_multilayer,1,structure,,st_000195,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,deep_multilayer,2,memory,em_000073,st_000196,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,deep_multilayer,3,structure,,st_000194,{A + B},0.5588358,5.4,er_induction,1,4,1,1,4,root_er
F05,deep_multilayer,4,structure,,st_000195,{A + C},0.26906909,2.6,er_induction,1,4,1,1,4,root_er
F05,deep_multilayer,5,memory,em_000073,st_000196,{A + M},0.20697622,2.0,er_induction,1,4,1,1,4,root_er
F05,deep_multilayer,6,structure,,st_000197,{A + B + D},0.65841906,6.6,ev_propagation,2,4,2,2,3,frontier_ev
F05,deep_multilayer,7,memory,em_000074,st_000198,{A + B + E},0.33918558,3.4,ev_propagation,2,4,2,2,3,frontier_ev
F05,deep_multilayer,8,structure,,st_000199,{A + C + F},0.26898377,5.6,ev_propagation,2,4,2,2,3,frontier_ev
F05,deep_multilayer,9,memory,em_000075,st_000200,{A + C + G},0.21134439,4.4,ev_propagation,2,4,2,2,3,frontier_ev
F05,single_round_cap,0,structure,,st_000202,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,single_round_cap,1,structure,,st_000203,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,single_round_cap,2,memory,em_000076,st_000204,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,single_round_cap,3,structure,,st_000202,{A + B},0.1836,5.4,er_induction,1,1,1,1,1,root_er
F05,single_round_cap,4,structure,,st_000203,{A + C},0.0884,2.6,er_induction,1,1,1,1,1,root_er
F05,single_round_cap,5,memory,em_000076,st_000204,{A + M},0.068,2.0,er_induction,1,1,1,1,1,root_er
F05,high_frontier_threshold,0,structure,,st_000210,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,high_frontier_threshold,1,structure,,st_000211,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,high_frontier_threshold,2,memory,em_000079,st_000212,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,high_frontier_threshold,3,structure,,st_000210,{A + B},0.5588358,5.4,er_induction,1,4,1,1,4,root_er
F05,high_frontier_threshold,4,structure,,st_000211,{A + C},0.26906909,2.6,er_induction,1,4,1,1,4,root_er
F05,high_frontier_threshold,5,memory,em_000079,st_000212,{A + M},0.20697622,2.0,er_induction,1,4,1,1,4,root_er
F05,high_budget_threshold,0,structure,,st_000218,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,high_budget_threshold,1,structure,,st_000219,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,high_budget_threshold,2,memory,em_000082,st_000220,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,width_cap_one,0,structure,,st_000226,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,width_cap_one,1,structure,,st_000227,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,width_cap_one,2,memory,em_000085,st_000228,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,width_cap_one,3,structure,,st_000226,{A + B},0.5588358,5.4,er_induction,1,4,1,1,4,root_er
F05,width_cap_one,4,structure,,st_000227,{A + C},0.26906909,2.6,er_induction,1,4,1,1,4,root_er
F05,width_cap_one,5,memory,em_000085,st_000228,{A + M},0.20697622,2.0,er_induction,1,4,1,1,4,root_er
F05,width_cap_one,6,structure,,st_000229,{A + B + D},0.55905474,6.6,ev_propagation,2,4,2,2,2,frontier_ev
F05,width_cap_one,7,memory,em_000086,st_000230,{A + B + E},0.2879979,3.4,ev_propagation,2,4,2,2,2,frontier_ev
F05,no_er_reinduction,0,structure,,st_000234,{A + B},0.54,5.4,ev_propagation,1,1,1,1,1,root_ev
F05,no_er_reinduction,1,structure,,st_000235,{A + C},0.26,2.6,ev_propagation,1,1,1,1,1,root_ev
F05,no_er_reinduction,2,memory,em_000088,st_000236,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F05,no_er_reinduction,3,structure,,st_000237,{A + B + D},0.3564,6.6,ev_propagation,2,2,2,2,1,frontier_ev
F05,no_er_reinduction,4,memory,em_000089,st_000238,{A + B + E},0.1836,3.4,ev_propagation,2,2,2,2,1,frontier_ev
F05,no_er_reinduction,5,structure,,st_000239,{A + C + F},0.1456,5.6,ev_propagation,2,2,2,2,1,frontier_ev
F05,no_er_reinduction,6,memory,em_000090,st_000240,{A + C + G},0.1144,4.4,ev_propagation,2,2,2,2,1,frontier_ev
F06,deep_multilayer,0,structure,,st_000242,{A + B},0.49,4.9,ev_propagation,1,1,1,1,1,root_ev
F06,deep_multilayer,1,structure,,st_000243,{A + C},0.31,3.1,ev_propagation,1,1,1,1,1,root_ev
F06,deep_multilayer,2,memory,em_000091,st_000244,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F06,deep_multilayer,3,structure,,st_000242,{A + B},0.52200621,4.9,er_induction,1,4,1,1,4,root_er
F06,deep_multilayer,4,structure,,st_000243,{A + C},0.33024883,3.1,er_induction,1,4,1,1,4,root_er
F06,deep_multilayer,5,memory,em_000091,st_000244,{A + M},0.21306376,2.0,er_induction,1,4,1,1,4,root_er
F06,deep_multilayer,6,structure,,st_000245,{A + B + D},0.55964243,6.1,ev_propagation,2,4,2,2,3,frontier_ev
F06,deep_multilayer,7,memory,em_000092,st_000246,{A + B + E},0.35780417,3.9,ev_propagation,2,4,2,2,3,frontier_ev
F06,deep_multilayer,8,structure,,st_000247,{A + C + F},0.35405949,6.1,ev_propagation,2,4,2,2,3,frontier_ev
F06,deep_multilayer,9,memory,em_000093,st_000248,{A + C + G},0.22636591,3.9,ev_propagation,2,4,2,2,3,frontier_ev
F06,single_round_cap,0,structure,,st_000250,{A + B},0.49,4.9,ev_propagation,1,1,1,1,1,root_ev
F06,single_round_cap,1,structure,,st_000251,{A + C},0.31,3.1,ev_propagation,1,1,1,1,1,root_ev
F06,single_round_cap,2,memory,em_000094,st_000252,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F06,single_round_cap,3,structure,,st_000250,{A + B},0.1715,4.9,er_induction,1,1,1,1,1,root_er
F06,single_round_cap,4,structure,,st_000251,{A + C},0.1085,3.1,er_induction,1,1,1,1,1,root_er
F06,single_round_cap,5,memory,em_000094,st_000252,{A + M},0.07,2.0,er_induction,1,1,1,1,1,root_er
F06,high_frontier_threshold,0,structure,,st_000258,{A + B},0.49,4.9,ev_propagation,1,1,1,1,1,root_ev
F06,high_frontier_threshold,1,structure,,st_000259,{A + C},0.31,3.1,ev_propagation,1,1,1,1,1,root_ev
F06,high_frontier_threshold,2,memory,em_000097,st_000260,{A + M},0.2,2.0,ev_propagation,1,1,1,1,1,root_ev
F06,high_frontier_threshold,3,structure,,st_000258,{A + B},0.52200621,4.9,er_induction,1,4,1,1,4,root_er
F06,high_frontier_threshold,4,structure,,st_000259,{A + C},0.33024883,3.1,er_induction,1,4,1,1,4,root_er
F06,high_frontier_threshold,5,memory,em_000097,st_000260,{A + M},0.21306376,2.0,er_induction,1,4,1,1,4,root_er
