family,branch,branch_label,source_er,source_ev,enable_er_induction,root_b_weight,root_c_weight,root_memory_weight,b_d_weight,b_memory_weight,c_f_weight,c_memory_weight,energy_graph_v2_enabled,config_max_rounds,round_count,depth_max,frontier_generated_count,frontier_pruned_count,terminal_memory_count,root_reinduction_count,layer_count,layer_histogram_json,frontier_out_count_max,frontier_in_count_max,frontier_budget_ev_total,root_induction_budget_ev_total,round_delta_ev_total,round_delta_ev_last,total_delta_ev,total_ev_consumed,propagated_budget_total_ev,structure_target_count,memory_target_count,depth2_structure_target_count,layer1_memory_target_count,deeper_memory_target_count,has_AB_structure,has_AC_structure,has_ABD_structure_depth2,has_ACF_structure_depth2,has_root_terminal_memory,has_b_terminal_memory,has_c_terminal_memory,target_ids_json
F02,width_cap_one,宽度上限,0.31,1.0,1,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,4,4,2,4,6,7,3,2,"{""1"": 18, ""2"": 5}",1,1,1.77440644,0.94356808,2.71797452,0.27723052,2.71797452,1.0,1.77440644,5,3,1,2,1,1,1,1,0,1,1,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000082"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000083"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000031"", ""target_structure_id"": ""st_000084"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000082"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48121972}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000083"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27363474}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000031"", ""target_structure_id"": ""st_000084"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.18871362}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000085"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.48787606}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000032"", ""target_structure_id"": ""st_000086"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.28653038}]"
F02,no_er_reinduction,关闭根源ER重诱发,0.0,1.0,0,0.51,0.29,0.2,0.63,0.37,0.59,0.41,1,4,3,2,4,0,3,0,2,"{""1"": 5, ""2"": 6}",2,2,1.8,0.0,1.8,0.0,1.8,1.0,1.8,4,3,2,1,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000090"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.51}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000091"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000034"", ""target_structure_id"": ""st_000092"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000093"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.3213}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000035"", ""target_structure_id"": ""st_000094"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1887}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000095"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1711}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000036"", ""target_structure_id"": ""st_000096"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1189}]"
F03,deep_multilayer,多轮扩散,0.32,1.0,1,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,4,4,2,14,1,11,3,2,"{""1"": 23, ""2"": 18}",4,4,2.4380544,0.97400576,3.41206016,0.34857216,3.41206016,1.0,2.4380544,6,4,2,2,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000098"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000099"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000037"", ""target_structure_id"": ""st_000100"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000098"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48700288}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000099"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29220173}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000037"", ""target_structure_id"": ""st_000100"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.19480115}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000101"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.55724608}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000038"", ""target_structure_id"": ""st_000102"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.34153792}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000103"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.32356224}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000039"", ""target_structure_id"": ""st_000104"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.21570816}]"
F03,single_round_cap,单轮截断,0.32,1.0,1,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,1,1,1,2,0,2,0,1,"{""1"": 8}",2,1,1.0,0.32,1.32,1.32,1.32,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000106"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000107"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000040"", ""target_structure_id"": ""st_000108"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000106"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.16}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000107"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.096}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000040"", ""target_structure_id"": ""st_000108"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.064}]"
F03,high_frontier_threshold,前沿阈值剪枝,0.32,1.0,1,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,4,4,1,8,6,5,3,1,"{""1"": 23}",2,2,1.0,0.97400576,1.97400576,0.17643776,1.97400576,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000114"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000115"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000043"", ""target_structure_id"": ""st_000116"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000114"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48700288}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000115"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29220173}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000043"", ""target_structure_id"": ""st_000116"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.19480115}]"
F03,high_budget_threshold,预算阈值剪枝,0.0,1.0,0,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,4,2,1,2,2,1,0,1,"{""1"": 5}",2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,1,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000122"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000123"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000046"", ""target_structure_id"": ""st_000124"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}]"
F03,width_cap_one,宽度上限,0.32,1.0,1,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,4,4,2,4,6,7,3,2,"{""1"": 18, ""2"": 5}",1,1,1.767584,0.97400576,2.74158976,0.28402176,2.74158976,1.0,1.767584,5,3,1,2,1,1,1,1,0,1,1,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000130"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000131"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000049"", ""target_structure_id"": ""st_000132"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000130"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.48700288}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000131"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.29220173}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000049"", ""target_structure_id"": ""st_000132"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.19480115}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000133"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.47590208}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000050"", ""target_structure_id"": ""st_000134"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.29168192}]"
F03,no_er_reinduction,关闭根源ER重诱发,0.0,1.0,0,0.5,0.3,0.2,0.62,0.38,0.6,0.4,1,4,3,2,4,0,3,0,2,"{""1"": 5, ""2"": 6}",2,2,1.8,0.0,1.8,0.0,1.8,1.0,1.8,4,3,2,1,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000138"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000139"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.3}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000052"", ""target_structure_id"": ""st_000140"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000141"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.31}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000053"", ""target_structure_id"": ""st_000142"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.19}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000143"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.18}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000054"", ""target_structure_id"": ""st_000144"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.12}]"
F04,deep_multilayer,多轮扩散,0.33,1.0,1,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,4,4,2,14,1,11,3,2,"{""1"": 23, ""2"": 18}",4,4,2.4579936,1.00444344,3.46243704,0.35946504,3.46243704,1.0,2.4579936,6,4,2,2,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000146"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000147"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000055"", ""target_structure_id"": ""st_000148"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000146"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53235502}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000147"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27119973}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000055"", ""target_structure_id"": ""st_000148"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20088869}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000149"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.62784849}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000056"", ""target_structure_id"": ""st_000150"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.33807227}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000151"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.28048152}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000057"", ""target_structure_id"": ""st_000152"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.21159132}]"
F04,single_round_cap,单轮截断,0.33,1.0,1,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,1,1,1,2,0,2,0,1,"{""1"": 8}",2,1,1.0,0.33,1.33,1.33,1.33,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000154"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000155"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000058"", ""target_structure_id"": ""st_000156"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000154"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.1749}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000155"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.0891}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000058"", ""target_structure_id"": ""st_000156"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.066}]"
F04,high_frontier_threshold,前沿阈值剪枝,0.33,1.0,1,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,4,4,1,8,6,5,3,1,"{""1"": 23}",2,2,1.0,1.00444344,2.00444344,0.18195144,2.00444344,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000162"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000163"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000061"", ""target_structure_id"": ""st_000164"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000162"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53235502}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000163"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27119973}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000061"", ""target_structure_id"": ""st_000164"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20088869}]"
F04,high_budget_threshold,预算阈值剪枝,0.0,1.0,0,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,4,2,1,2,2,1,0,1,"{""1"": 5}",2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,1,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000170"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000171"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000064"", ""target_structure_id"": ""st_000172"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}]"
F04,width_cap_one,宽度上限,0.33,1.0,1,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,4,4,2,4,6,7,3,2,"{""1"": 18, ""2"": 5}",1,1,1.82250276,1.00444344,2.8269462,0.2995542,2.8269462,1.0,1.82250276,5,3,1,2,1,1,1,1,0,1,1,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000178"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000179"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000067"", ""target_structure_id"": ""st_000180"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000178"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53235502}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000179"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27119973}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000067"", ""target_structure_id"": ""st_000180"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20088869}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000181"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.53462679}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000068"", ""target_structure_id"": ""st_000182"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.28787597}]"
F04,no_er_reinduction,关闭根源ER重诱发,0.0,1.0,0,0.53,0.27,0.2,0.65,0.35,0.57,0.43,1,4,3,2,4,0,3,0,2,"{""1"": 5, ""2"": 6}",2,2,1.8,0.0,1.8,0.0,1.8,1.0,1.8,4,3,2,1,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000186"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.53}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000187"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.27}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000070"", ""target_structure_id"": ""st_000188"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000189"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.3445}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000071"", ""target_structure_id"": ""st_000190"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1855}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000191"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1539}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000072"", ""target_structure_id"": ""st_000192"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.1161}]"
F05,deep_multilayer,多轮扩散,0.34,1.0,1,0.54,0.26,0.2,0.66,0.34,0.56,0.44,1,4,4,2,14,1,11,3,2,"{""1"": 23, ""2"": 18}",4,4,2.4779328,1.03488112,3.51281391,0.37035791,3.51281391,1.0,2.4779328,6,4,2,2,2,1,1,1,1,1,1,1,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000194"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.54}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000195"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000073"", ""target_structure_id"": ""st_000196"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000194"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5588358}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000195"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26906909}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000073"", ""target_structure_id"": ""st_000196"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20697622}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000197"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.65841906}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000074"", ""target_structure_id"": ""st_000198"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.33918558}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000199"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.26898377}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000075"", ""target_structure_id"": ""st_000200"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.21134439}]"
F05,single_round_cap,单轮截断,0.34,1.0,1,0.54,0.26,0.2,0.66,0.34,0.56,0.44,1,1,1,1,2,0,2,0,1,"{""1"": 8}",2,1,1.0,0.34,1.34,1.34,1.34,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000202"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.54}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000203"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000076"", ""target_structure_id"": ""st_000204"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000202"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.1836}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000203"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.0884}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000076"", ""target_structure_id"": ""st_000204"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.068}]"
F05,high_frontier_threshold,前沿阈值剪枝,0.34,1.0,1,0.54,0.26,0.2,0.66,0.34,0.56,0.44,1,4,4,1,8,6,5,3,1,"{""1"": 23}",2,2,1.0,1.03488112,2.03488111,0.18746511,2.03488111,1.0,1.0,4,2,0,2,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000210"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.54}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000211"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000079"", ""target_structure_id"": ""st_000212"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000210"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5588358}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000211"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26906909}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000079"", ""target_structure_id"": ""st_000212"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20697622}]"
F05,high_budget_threshold,预算阈值剪枝,0.0,1.0,0,0.54,0.26,0.2,0.66,0.34,0.56,0.44,1,4,2,1,2,2,1,0,1,"{""1"": 5}",2,2,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2,1,0,1,0,1,1,0,0,1,0,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000218"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.54}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000219"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000082"", ""target_structure_id"": ""st_000220"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}]"
F05,width_cap_one,宽度上限,0.34,1.0,1,0.54,0.26,0.2,0.66,0.34,0.56,0.44,1,4,4,2,4,6,7,3,2,"{""1"": 18, ""2"": 5}",1,1,1.84705264,1.03488112,2.88193375,0.31091775,2.88193375,1.0,1.84705264,5,3,1,2,1,1,1,1,0,1,1,0,"[{""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000226"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.54}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000227"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000085"", ""target_structure_id"": ""st_000228"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.2}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000226"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.5588358}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000227"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.26906909}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000085"", ""target_structure_id"": ""st_000228"", ""depth_min"": 1, ""depth_max"": 1, ""delta_ev"": 0.20697622}, {""projection_kind"": ""structure"", ""memory_id"": """", ""target_structure_id"": ""st_000229"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.55905474}, {""projection_kind"": ""memory"", ""memory_id"": ""em_000086"", ""target_structure_id"": ""st_000230"", ""depth_min"": 2, ""depth_max"": 2, ""delta_ev"": 0.2879979}]"
